sku,product_slug,product_name,category,source_url,secondary_source_url,source_product_name,match_type,match_confidence,match_reason,parameter_conflict,review_status,notes
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-tab-lock-snapper-pin.html,Galvanized Steel Braided Cable,strong,medium,"Same customizable wire-rope assembly function with explicit construction, material, coating and fitting options.",no,manual-review,"Broad custom assembly source; values represent listed options, not a single default configuration."
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,,Galvanized Steel Braided Cable,partial,low,The page lists stainless steel as an option but is not a dedicated stainless assembly variant.,no,manual-review,Candidate only; formal fields remain TBD.
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-wire-rope-cable.html,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Wire Rope Cable,partial,low,A likely galvanized variant was found but the detail page could not be read; the secondary page is multi-material.,no,manual-review,No reliable detail-page evidence accepted.
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/pvc-coated-galvanized-wire-with-hook.html,https://m.wireropeassy.com/wire-rope-assembly/plastic-coated-steel-cable-for-sport.html,PVC Coated Galvanized Wire With Hook,partial,low,The likely page failed to load and the readable mobile page has a different sport-cable application.,yes,manual-review,Candidate values are not written to the formal table.
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,https://www.wireropeassy.com/showroom/rope-assemblies/,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/eye-wire-rope-grommet-slings.html,Steel Wire Rope Assembly With Two Eyelets,partial,low,The two-eyelet item appears only in a showroom listing and the product-detail candidate could not be read.,no,manual-review,Showroom/category-level reference only.
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-cable-harness-carabiner-snap-hook.html,,Steel Cable Harness Carabiner Snap Hook,partial,low,"Core end fitting appears to match, but the detail page could not be read reliably.",no,manual-review,No formal parameters accepted.
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,,Coil Steel Tool Tether Lanyard,strong,high,Same coiled tool-tether function with hook-to-hook construction.,yes,manual-review,Length and extension statements conflict; only non-conflicting fields are accepted.
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/tool-lanyards-safety-retractable-coiled.html,,Plastic Coil Lanyard With Carabiner,exact,high,Same coiled lanyard function and carabiner feature.,yes,manual-review,Length text has inconsistent units and remains TBD.
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/direct-sells-double-flow-hook-diving-spring.html,,Double Flow Hook Spring Coil Tool Rope,exact,high,Same coiled safety lanyard with dual-hook identity.,no,manual-review,Multiple listed material and coating options are preserved as options.
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/coil-lanyard-tether-of-air-bag-suit.html,Coil Steel Tool Tether Lanyard,strong,medium,Same spring-coil safety tether construction; secondary page has a different airbag application.,yes,manual-review,Length remains TBD because the primary page conflicts.
GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,https://www.wireropeassy.com/suspension-hanging-kit/standard-hanger-wire-hanging-kit-suspension.html,https://www.wireropeassy.com/suspension-hanging-kit/steel-wire-ceiling-suspension-kits.html,Suspension Wire Hanging With Spring Hook,strong,high,"Same lighting/suspension hanging kit function with cable, gripper and hook components.",no,manual-review,Primary product page values accepted; conflicting secondary length values are not used.
GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,suspension-hanging-kits,https://www.wireropeassy.com/suspension-hanging-kit/adjustable-cable-gripper-hanging-wire.html,https://www.wireropeassy.com/suspension-hanging-kit/aircraft-cable-gripper-fitting.html,Adjustable Cable Gripper Hanging Wire,exact,high,Direct adjustable cable-gripper hanging-wire product.,no,manual-review,Dimensions are customizable but no numeric range is stated.
GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,https://www.wireropeassy.com/suspension-hanging-kit/y-leg-hanging-kit-for-led-panel-lights.html,https://www.wireropeassy.com/suspension-hanging-kit/stainless-steel-wire-rope-led-panel-light.html,Y-Leg Hanging Kit For LED Panel Lights,exact,high,Direct LED-panel suspension kit with Y-leg configuration.,no,manual-review,Only product-level non-conflicting values are accepted.
GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,https://m.wireropeassy.com/wire-rope-assembly/steel-wire-rope/supply-pvc-coated-galvanized-customized.html,,Wire Suspended Hanging Kit,strong,medium,Same suspended display/gallery hanging function with cable-gripper and ceiling fitting options.,no,manual-review,The source does not explicitly say sign; manual application review remains required.
GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,control-brake-cables,https://www.wireropeassy.com/brake-cable/black-bowden-cable-with-inner-cable.html,,Push-Pull Bowden Cables With Inner Wire,exact,high,Direct Bowden cable with inner wire and outer casing.,yes,manual-review,"Diameter, construction, casing and length details conflict or are ambiguous and remain TBD."
GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,control-brake-cables,https://www.wireropeassy.com/brake-cable/black-bowden-cable-with-inner-cable.html,https://www.wireropeassy.com/control-cable/universal-galvanized-flexible-outer-control.html,Push-Pull Bowden Cables With Inner Wire,exact,high,Direct push-pull control-cable product identity.,yes,manual-review,"Only material, inner wire, MOQ and broad customization categories are accepted."
GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,control-brake-cables,https://www.wireropeassy.com/control-cable/wire-rope-assemblies-brake-custom-cable.html,,Automobile Bowden Trailer Brake Cable,partial,low,A matching brake-cable item was discovered but the detail page could not be read reliably.,no,manual-review,Formal parameters remain TBD.
GS-CTL-004,throttle-control-cable,Throttle Control Cable,control-brake-cables,https://www.wireropeassy.com/control-cable/factory-direct-oem-scooter-bike-motorcycle.html,https://www.wireropeassy.com/control-cable/m8-oil-control-cable-to-install-on-motorcycle.html,Scooter Bike Motorcycle Accelerator Control Cable,strong,high,Accelerator cable is the same throttle-control function with threaded cable-end options.,no,manual-review,No numeric dimensions or load values are accepted.
GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,gym-fitness-cables,https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,https://www.wireropeassy.com/gym-fitness-cable/dongguan-gym-equipment-fitness-cable.html,Fitness Gym Cable Wire Rope Assembly,exact,high,Direct generic gym cable assembly page with multiple end configurations.,no,manual-review,End configurations are options and are not assigned to A/B for the generic assembly.
GS-GYM-002,weight-stack-cable-assembly,Weight Stack Cable Assembly,gym-fitness-cables,https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,,Fitness Gym Cable Wire Rope Assembly,exact,high,The product page explicitly lists a weight-stack bolt with shank ball end.,no,manual-review,Two thread-size options are preserved; final selection requires confirmation.
GS-GYM-003,pvc-coated-gym-cable,PVC Coated Gym Cable,gym-fitness-cables,https://www.wireropeassy.com/wire-rope-sling/stainless-fall-prevention-wire-rope-sling.html,https://www.wireropeassy.com/gym-fitness-cable/transparent-pvc-coated-flexible-cable-for-gym.html,Black Vinyl Coated Nylon Pulley Gym Cable Assembly,strong,medium,"Same coated gym-cable function, but coating descriptions conflict and the likely PVC page could not be read.",yes,manual-review,Coating material remains TBD; non-conflicting cable and commercial fields are accepted.
GS-GYM-004,fitness-cable-with-ball-end,Fitness Cable with Ball End,gym-fitness-cables,https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,,Fitness Gym Cable Wire Rope Assembly,strong,high,The page explicitly lists large and small ball-stopper end options for gym cables.,no,manual-review,"Ball-stop dimensions are option values, not a single default."
GS-FIT-001,wire-rope-thimble,Wire Rope Thimble,wire-rope-fittings,https://www.wireropeassy.com/hardware-fittings/din-3091-wire-rope-thimble.html,,DIN 3091 Wire Rope Thimble,exact,high,Direct DIN 3091 wire-rope thimble product page.,yes,manual-review,"Material, surface finish and lead time conflict on the page and remain TBD."
GS-FIT-002,wire-rope-sleeve,Wire Rope Sleeve,wire-rope-fittings,https://www.wireropeassy.com/showroom/wire-rope-aluminium-sleeve/,https://www.wireropeassy.com/showroom/quick-connector-link/,Wire Rope Aluminium Sleeve,partial,low,Only showroom/category listings were found; no reliable SKU detail page was available.,no,manual-review,Formal parameters remain TBD.
GS-FIT-003,swage-terminal,Swage Terminal,wire-rope-fittings,,https://www.wireropeassy.com/showroom/top-quality-wire-rope-sling/,,none,low,No direct swage-terminal product page with usable technical evidence was found.,no,manual-review,All applicable fields remain TBD.
GS-FIT-004,cable-gripper,Cable Gripper,wire-rope-fittings,https://www.wireropeassy.com/suspension-hanging-kit/aircraft-cable-gripper-fitting.html,https://www.wireropeassy.com/hardware-fittings/cable-gripper/,Aircraft Cable Gripper Fitting,exact,high,"Direct cable-gripper fitting product page with material, finish and compatible cable sizes.",no,manual-review,Certification claims are not migrated as product standards.
