sku,product_slug,product_name,construction,material,material_grade,wire_rope_diameter_min_mm,wire_rope_diameter_max_mm,coating_material,coating_color,finished_diameter_min_mm,finished_diameter_max_mm,length_min_mm,length_max_mm,length_tolerance,core,lay_direction,surface_finish,end_a_type,end_a_thread,end_a_dimensions,end_b_type,end_b_thread,end_b_dimensions,breaking_load,working_load,load_unit,applicable_standard,moq,sample_lead_time,production_lead_time,packaging,customization_options,drawing_file,datasheet_file,verification_status,reviewed_by,reviewed_at,notes,retracted_length_mm,extended_length_mm,upper_fitting,lower_fitting,gripper_type,inner_cable,outer_casing,stroke_mm,compatible_wire_rope_diameter_min_mm,compatible_wire_rope_diameter_max_mm
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,1x7;7x7;7x19;1x19,Galvanized Steel;Stainless Steel,TBD,0.6,11,PVC;PU;Nylon;PE,Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,7 days when required materials are in stock,TBD,Diameter;Construction;Material;Coating;Coating Color;End Fittings,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,TBD,Stainless Steel,TBD,TBD,TBD,PU,Gray,5,5,TBD,TBD,TBD,TBD,TBD,TBD,Aluminum Hook,TBD,TBD,Aluminum Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Color;End Hooks,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,TBD,Stainless Steel,TBD,TBD,TBD,PVC,Purple,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Color;Carabiner;Hook-and-loop Attachment,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,7x19,Stainless Steel;Galvanized Steel,TBD,2,2,PVC;PU;PE;Nylon,TBD,TBD,TBD,1000,3000,TBD,TBD,TBD,TBD,Hook,TBD,TBD,Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Coating Material;End Hooks,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,TBD,Stainless Steel,TBD,TBD,TBD,PU,Gray,5,5,TBD,TBD,TBD,TBD,TBD,TBD,Aluminum Hook,TBD,TBD,Aluminum Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Color;End Hooks,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,TBD,Stainless Steel,TBD,1,2,TBD,TBD,TBD,TBD,1000,8000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Cable Diameter;Ceiling Accessory;Cable Gripper;Snap Hook;Eyelet,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,TBD,TBD,Adjustable Cable Gripper,N/A,N/A,N/A,N/A,N/A
GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,TBD,Galvanized Steel;Stainless Steel,TBD,TBD,TBD,TBD,Silver;Custom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Material;Dimensions;Color;Cable Gripper,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,TBD,TBD,Adjustable Cable Gripper,N/A,N/A,N/A,N/A,N/A
GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,TBD,Stainless Steel,TBD,1,2,TBD,TBD,TBD,TBD,1000,3000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Cable Diameter;Ceiling Accessory;Cable Gripper;Snap Hook;Eyelet,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,Ceiling Retainer,Y-shaped Clamp,Adjustable Cable Gripper,N/A,N/A,N/A,N/A,N/A
GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,7x7,Stainless Steel,AISI 304,TBD,TBD,TBD,TBD,TBD,TBD,1000,2000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Length;Cable Loop;Nipple Ball End;Cable Gripper;Ceiling Attachment;Screw,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,TBD,TBD,TBD,N/A,N/A,N/A,N/A,N/A
GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,TBD,Galvanized Steel,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,1000 pcs,TBD,TBD,TBD,Inner Cable Diameter;Construction;Outer Casing;End Accessories;Length,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,Galvanized Steel Inner Wire,TBD,TBD,N/A,N/A
GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,TBD,Galvanized Steel,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,1000 pcs,TBD,TBD,TBD,Inner Cable Diameter;Construction;Outer Casing;End Accessories;Length,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,Galvanized Steel Inner Wire,TBD,TBD,N/A,N/A
GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,TBD,TBD,TBD,N/A,N/A
GS-CTL-004,throttle-control-cable,Throttle Control Cable,TBD,Stainless Steel,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Universal Threaded Cable Ends;Terminals;Conduit Fittings,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,Stainless Steel Lubri-Core Wire,TBD,TBD,N/A,N/A
GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,TBD,Stainless Steel,AISI 304;AISI 316,TBD,TBD,TBD,Black;Red;Blue;Custom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,1000 pcs,TBD,15 days,TBD,Loop End;Weight Stack Bolt;Marine Eye;Ball Stopper;Color;Shape,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-GYM-002,weight-stack-cable-assembly,Weight Stack Cable Assembly,TBD,Stainless Steel,AISI 304;AISI 316,TBD,TBD,TBD,Black;Red;Blue;Custom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Loop End,TBD,TBD,Weight Stack Bolt with Shank Ball End,1/2-13;3/8-13,Bolt length 1.25 in,TBD,TBD,TBD,TBD,1000 pcs,TBD,15 days,TBD,Thread Size;Loop End;Weight Stack Bolt;Color;Shape,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-GYM-003,pvc-coated-gym-cable,PVC Coated Gym Cable,7x19,Galvanized Steel,TBD,2,2,TBD,TBD,TBD,TBD,2057.4,2057.4,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,3-10 days,15-25 days,Standard export carton;According to customer requirement,Length;Eyelet Snap Hook;Nylon Ball,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-GYM-004,fitness-cable-with-ball-end,Fitness Cable with Ball End,TBD,Stainless Steel,AISI 304;AISI 316,TBD,TBD,TBD,Black;Red;Blue;Custom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Ball Stopper,TBD,1.25 in OD;1.75 in OD,TBD,TBD,TBD,TBD,1000 pcs,TBD,15 days,TBD,Ball Stopper Size;Loop End;Marine Eye;Color;Shape,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-FIT-001,wire-rope-thimble,Wire Rope Thimble,N/A,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,TBD,TBD,TBD,N/A,N/A,N/A,TBD,TBD,TBD,DIN 3091,1000 pcs,TBD,TBD,According to customer requirement,Compatible Cable Size;Dimensions;Finish;Packaging,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,10
GS-FIT-002,wire-rope-sleeve,Wire Rope Sleeve,N/A,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,TBD,TBD,TBD,N/A,N/A,N/A,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,TBD
GS-FIT-003,swage-terminal,Swage Terminal,N/A,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,TBD,TBD,TBD,N/A,N/A,N/A,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,TBD
GS-FIT-004,cable-gripper,Cable Gripper,N/A,Copper,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chrome Plated;Nickel Plated,TBD,TBD,TBD,N/A,N/A,N/A,TBD,TBD,TBD,TBD,TBD,TBD,7 days after receipt of 30% deposit,TBD,Product Dimensions;Cable Diameter;Surface Finish,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1.5
