page,image_path,image_type,exists,local,has_alt,contains_old_brand,contains_contact_details,width,height,status,notes
global,/images/placeholders/wire-rope-placeholder.svg,placeholder,true,true,true,false,false,1200,900,ok,Clearly marked placeholder image; not a real product photo.
/products/custom-wire-rope-cable-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/stainless-steel-wire-rope-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/galvanized-wire-rope-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/pvc-coated-wire-rope-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/wire-rope-assembly-with-eye-loops,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/wire-rope-assembly-with-carabiner-hook,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/coiled-tool-safety-lanyard,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/tool-lanyard-with-carabiner,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/tool-lanyard-with-dual-hooks,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/spring-coil-safety-lanyard,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/lighting-suspension-cable-kit,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/adjustable-cable-gripper-kit,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/led-panel-suspension-kit,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/sign-hanging-cable-kit,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/bowden-cable-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/push-pull-control-cable,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/brake-cable-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/throttle-control-cable,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/gym-equipment-cable-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/weight-stack-cable-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/pvc-coated-gym-cable,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/fitness-cable-with-ball-end,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/wire-rope-thimble,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/wire-rope-sleeve,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/swage-terminal,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/cable-gripper,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/7x7-stainless-steel-wire-rope,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,Draft product image is not published.
