batch_id,sku,product_slug,product_name,category,source_file,source_type,target_file,target_type,source_width,source_height,source_size_bytes,target_width,target_height,target_format,existing_target,action,status,notes
20260717075231-7ba9bd,GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/custom-wire-rope-cable-assembly/custom-high-quality-7-7-galvanized-stainless88655.webp,unknown,,,730,730,60978,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/custom-wire-rope-cable-assembly/main-original-01.webp,main,public/images/products/custom-wire-rope-cable-assembly/main.webp,main,730,730,60978,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/stainless-steel-wire-rope-assembly/detail-original-01.webp,detail,public/images/products/stainless-steel-wire-rope-assembly/detail-01.webp,detail,730,730,28182,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/stainless-steel-wire-rope-assembly/main-original-01.webp,main,public/images/products/stainless-steel-wire-rope-assembly/main.webp,main,730,730,28182,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/detail-original-01.webp,detail,public/images/products/galvanized-wire-rope-assembly/detail-01.webp,detail,750,750,39726,750,750,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/detail-original-02.webp,detail,public/images/products/galvanized-wire-rope-assembly/detail-02.webp,detail,730,730,28132,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/detail-original-03.webp,detail,public/images/products/galvanized-wire-rope-assembly/detail-03.webp,detail,730,730,27936,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/detail-original-04.webp,detail,public/images/products/galvanized-wire-rope-assembly/detail-04.webp,detail,730,730,34090,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/main-original-01.webp,main,public/images/products/galvanized-wire-rope-assembly/main.webp,main,750,750,39726,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/pvc-coated-wire-rope-assembly/detail-original-01.webp,detail,public/images/products/pvc-coated-wire-rope-assembly/detail-01.webp,detail,730,730,18896,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/pvc-coated-wire-rope-assembly/main-original-01.webp,main,public/images/products/pvc-coated-wire-rope-assembly/main.webp,main,730,730,18896,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-eye-loops/detail-original-01.webp,detail,public/images/products/wire-rope-assembly-with-eye-loops/detail-01.webp,detail,730,730,21136,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-eye-loops/main-original-01.webp,main,public/images/products/wire-rope-assembly-with-eye-loops/main.webp,main,730,730,21136,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/main-original-01.webp,main,public/images/products/wire-rope-assembly-with-carabiner-hook/main.webp,main,730,730,43228,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/terminal-original-01.webp,terminal,public/images/products/wire-rope-assembly-with-carabiner-hook/terminal-01.webp,terminal,730,730,43228,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/terminal-original-02.webp,terminal,public/images/products/wire-rope-assembly-with-carabiner-hook/terminal-02.webp,terminal,730,730,35900,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/terminal-original-03.webp,terminal,public/images/products/wire-rope-assembly-with-carabiner-hook/terminal-03.webp,terminal,730,730,25000,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/terminal-original-04.webp,terminal,public/images/products/wire-rope-assembly-with-carabiner-hook/terminal-04.webp,terminal,730,730,45534,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/coiled-tool-safety-lanyard/main-original-01.webp,main,public/images/products/coiled-tool-safety-lanyard/main.webp,main,730,730,45754,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/coiled-tool-safety-lanyard/safety-coiled-tool-lanyard09071636925.webp,unknown,,,730,730,45754,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-carabiner/main-original-01.webp,main,public/images/products/tool-lanyard-with-carabiner/main.webp,main,730,730,47904,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-carabiner/terminal-original-01.webp,terminal,public/images/products/tool-lanyard-with-carabiner/terminal-01.webp,terminal,730,730,47904,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/custom-black-safety-coil-tool-lanyard-with201907271024448988279.webp,unknown,,,730,720,30422,730,720,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/custom-black-safety-coil-tool-lanyard-with26366399445.webp,unknown,,,730,740,22752,730,740,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/custom-black-safety-coil-tool-lanyard-with26375774083.webp,unknown,,,730,740,33960,730,740,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/custom-black-safety-coil-tool-lanyard-with26376867785.webp,unknown,,,730,740,27346,730,740,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/main-original-01.webp,main,public/images/products/tool-lanyard-with-dual-hooks/main.webp,main,730,740,33960,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/main-original-01.webp,main,public/images/products/spring-coil-safety-lanyard/main.webp,main,730,730,60558,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/stainless-steel-inside-spring-coil-safety49299212881.webp,unknown,,,730,916,72034,717,900,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/stainless-steel-inside-spring-coil-safety50176382869.webp,unknown,,,730,730,60558,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/stainless-steel-inside-spring-coil-safety50181942813.webp,unknown,,,730,730,65608,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/stainless-steel-inside-spring-coil-safety50197102823.webp,unknown,,,730,730,49336,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/stainless-steel-inside-spring-coil-safety50204792854.webp,unknown,,,730,730,47232,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/stainless-steel-inside-spring-coil-safety50207592847.webp,unknown,,,730,730,45000,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/59461572136.webp,unknown,,,730,730,70222,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/59470947218.webp,unknown,,,730,730,142682,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/59477040956.webp,unknown,,,730,730,71988,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/59484697216.webp,unknown,,,730,730,78856,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/59489384823.webp,unknown,,,730,730,108186,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/lighting-suspension-cable-kit/main-original-01.webp,main,public/images/products/lighting-suspension-cable-kit/main.webp,main,730,730,70222,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/adjustable-cable-gripper-kit/main-original-01.webp,main,public/images/products/adjustable-cable-gripper-kit/main.webp,main,730,730,21724,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/adjustable-cable-gripper-kit/terminal-original-01.webp,terminal,public/images/products/adjustable-cable-gripper-kit/terminal-01.webp,terminal,730,730,21724,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/led-panel-light-hanging-suspension-kit29529442047.webp,unknown,,,730,730,22578,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/led-panel-light-hanging-suspension-kit43278991806.webp,unknown,,,730,730,40274,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/led-panel-light-hanging-suspension-kit43283992258.webp,unknown,,,730,730,40270,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/led-panel-light-hanging-suspension-kit43289460571.webp,unknown,,,730,730,24446,730,730,webp,false,review,review,Review or unconfirmed source images are excluded from formal production output.
20260717075231-7ba9bd,GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/led-panel-suspension-kit/main-original-01.webp,main,public/images/products/led-panel-suspension-kit/main.webp,main,730,730,40274,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/detail-original-01.webp,detail,public/images/products/sign-hanging-cable-kit/detail-01.webp,detail,730,730,26780,730,730,webp,false,skip,skipped,Source is byte-identical to the selected main-original-01 copy and is excluded to prevent gallery duplication.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/detail-original-02.webp,detail,public/images/products/sign-hanging-cable-kit/detail-02.webp,detail,730,730,25358,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/detail-original-03.webp,detail,public/images/products/sign-hanging-cable-kit/detail-03.webp,detail,730,730,22508,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/detail-original-04.webp,detail,public/images/products/sign-hanging-cable-kit/detail-04.webp,detail,730,730,26138,730,730,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
20260717075231-7ba9bd,GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,suspension-hanging-kits,image-import/suspension-hanging-kits/sign-hanging-cable-kit/main-original-01.webp,main,public/images/products/sign-hanging-cable-kit/main.webp,main,730,730,26780,1200,1200,webp,true,keep,kept,Existing target matches the processing manifest; use --force to regenerate it.
