sku,product_name,category,total_applicable_fields,confirmed_fields,tbd_fields,na_fields,completion_percentage,verification_status,missing_critical_fields,publish_risk,recommended_action
GS-WRA-001,Custom Wire Rope Cable Assembly,wire-rope-assemblies,32,9,23,10,28.1,incomplete,material_grade;length;end_fittings;load;standard,critical,"Confirm critical fields: material_grade, length, end_fittings, load, standard."
GS-WRA-002,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-WRA-003,Galvanized Wire Rope Assembly,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-WRA-004,PVC Coated Wire Rope Assembly,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-WRA-005,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-WRA-006,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-LAN-001,Coiled Tool Safety Lanyard,tool-safety-lanyards,31,9,25,8,29.0,incomplete,material_grade;diameter;length;load;standard;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, load, standard, lead_time."
GS-LAN-002,Tool Lanyard with Carabiner,tool-safety-lanyards,31,5,29,8,16.1,incomplete,material_grade;diameter;length;end_fittings;load;standard;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, end_fittings, load, standard, lead_time."
GS-LAN-003,Tool Lanyard with Dual Hooks,tool-safety-lanyards,31,10,23,8,32.3,incomplete,material_grade;load;standard;lead_time,medium,"Confirm critical fields: material_grade, load, standard, lead_time."
GS-LAN-004,Spring Coil Safety Lanyard,tool-safety-lanyards,31,9,25,8,29.0,incomplete,material_grade;diameter;length;load;standard;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, load, standard, lead_time."
GS-SUS-001,Lighting Suspension Cable Kit,suspension-hanging-kits,26,8,27,7,30.8,incomplete,material_grade;load;standard;lead_time,medium,"Confirm critical fields: material_grade, load, standard, lead_time."
GS-SUS-002,Adjustable Cable Gripper Kit,suspension-hanging-kits,26,5,30,7,19.2,incomplete,material_grade;diameter;length;load;standard;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, load, standard, lead_time."
GS-SUS-003,LED Panel Suspension Kit,suspension-hanging-kits,26,10,25,7,38.5,incomplete,material_grade;load;standard;lead_time,medium,"Confirm critical fields: material_grade, load, standard, lead_time."
GS-SUS-004,Sign Hanging Cable Kit,suspension-hanging-kits,26,5,29,7,19.2,incomplete,diameter;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: diameter, end_fittings, load, standard, moq, lead_time."
GS-CTL-001,Bowden Cable Assembly,control-brake-cables,30,4,31,7,13.3,incomplete,material_grade;diameter;length;end_fittings;load;standard;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, end_fittings, load, standard, lead_time."
GS-CTL-002,Push Pull Control Cable,control-brake-cables,30,4,31,7,13.3,incomplete,material_grade;diameter;length;end_fittings;load;standard;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, end_fittings, load, standard, lead_time."
GS-CTL-003,Brake Cable Assembly,control-brake-cables,30,0,35,7,0.0,unverified,material;material_grade;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-CTL-004,Throttle Control Cable,control-brake-cables,30,3,32,7,10.0,incomplete,material_grade;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-GYM-001,Gym Equipment Cable Assembly,gym-fitness-cables,32,6,26,10,18.8,incomplete,construction;diameter;length;end_fittings;load;standard,critical,"Confirm critical fields: construction, diameter, length, end_fittings, load, standard."
GS-GYM-002,Weight Stack Cable Assembly,gym-fitness-cables,32,10,22,10,31.3,incomplete,construction;diameter;length;load;standard,critical,"Confirm critical fields: construction, diameter, length, load, standard."
GS-GYM-003,PVC Coated Gym Cable,gym-fitness-cables,32,11,21,10,34.4,incomplete,material_grade;end_fittings;load;standard,critical,"Confirm critical fields: material_grade, end_fittings, load, standard."
GS-GYM-004,Fitness Cable with Ball End,gym-fitness-cables,32,8,24,10,25.0,incomplete,construction;diameter;length;load;standard,critical,"Confirm critical fields: construction, diameter, length, load, standard."
GS-FIT-001,Wire Rope Thimble,wire-rope-fittings,19,6,13,23,31.6,incomplete,material;material_grade;length;end_fittings;load;lead_time,high,"Confirm critical fields: material, material_grade, length, end_fittings, load, lead_time."
GS-FIT-002,Wire Rope Sleeve,wire-rope-fittings,19,0,19,23,0.0,unverified,material;material_grade;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-FIT-003,Swage Terminal,wire-rope-fittings,19,0,19,23,0.0,unverified,material;material_grade;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-FIT-004,Cable Gripper,wire-rope-fittings,19,6,13,23,31.6,incomplete,material_grade;length;end_fittings;load;standard;moq,critical,"Confirm critical fields: material_grade, length, end_fittings, load, standard, moq."
