sku,product_name,category,matched_source,match_type,match_confidence,fields_extracted,fields_tbd,fields_conflicted,company_level_values_rejected,verification_status,manual_review_required,recommended_action
GS-WRA-001,Custom Wire Rope Cable Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,strong,medium,construction;material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;moq;production_lead_time;customization_options,material_grade;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;packaging;drawing_file;datasheet_file,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-WRA-002,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,construction;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;moq;production_lead_time;customization_options;material,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-WRA-003,Galvanized Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-wire-rope-cable.html,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,construction;material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;moq;production_lead_time;customization_options,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-WRA-004,PVC Coated Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/pvc-coated-galvanized-wire-with-hook.html,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;production_lead_time;packaging;customization_options;coating_material,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-WRA-005,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,https://www.wireropeassy.com/showroom/rope-assemblies/,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;end_a_type;end_a_dimensions;end_b_type;end_b_dimensions,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-WRA-006,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-cable-harness-carabiner-snap-hook.html,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,end_a_type,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-LAN-001,Coiled Tool Safety Lanyard,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,strong,high,material;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;end_a_type;end_b_type;moq;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_thread;end_a_dimensions;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;retracted_length_mm;extended_length_mm,length_max_mm;retracted_length_mm;breaking_load,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
GS-LAN-002,Tool Lanyard with Carabiner,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/tool-lanyards-safety-retractable-coiled.html,exact,high,material;coating_material;coating_color;moq;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;retracted_length_mm;extended_length_mm,length_max_mm,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
GS-LAN-003,Tool Lanyard with Dual Hooks,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/direct-sells-double-flow-hook-diving-spring.html,exact,high,construction;material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;length_min_mm;length_max_mm;end_a_type;end_b_type;moq;customization_options,material_grade;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_thread;end_a_dimensions;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;retracted_length_mm;extended_length_mm,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-LAN-004,Spring Coil Safety Lanyard,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,strong,medium,material;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;end_a_type;end_b_type;moq;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_thread;end_a_dimensions;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;retracted_length_mm;extended_length_mm,length_max_mm;retracted_length_mm,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
GS-SUS-001,Lighting Suspension Cable Kit,suspension-hanging-kits,https://www.wireropeassy.com/suspension-hanging-kit/standard-hanger-wire-hanging-kit-suspension.html,strong,high,material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;length_min_mm;length_max_mm;gripper_type;moq;customization_options,construction;material_grade;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;upper_fitting;lower_fitting,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-SUS-002,Adjustable Cable Gripper Kit,suspension-hanging-kits,https://www.wireropeassy.com/suspension-hanging-kit/adjustable-cable-gripper-hanging-wire.html,exact,high,material;coating_color;gripper_type;moq;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;upper_fitting;lower_fitting,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-SUS-003,LED Panel Suspension Kit,suspension-hanging-kits,https://www.wireropeassy.com/suspension-hanging-kit/y-leg-hanging-kit-for-led-panel-lights.html,exact,high,material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;length_min_mm;length_max_mm;upper_fitting;lower_fitting;gripper_type;moq;customization_options,construction;material_grade;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-SUS-004,Sign Hanging Cable Kit,suspension-hanging-kits,https://m.wireropeassy.com/wire-rope-assembly/steel-wire-rope/supply-pvc-coated-galvanized-customized.html,strong,medium,construction;material;material_grade;length_min_mm;length_max_mm;customization_options,wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;upper_fitting;lower_fitting;gripper_type,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-CTL-001,Bowden Cable Assembly,control-brake-cables,https://www.wireropeassy.com/brake-cable/black-bowden-cable-with-inner-cable.html,exact,high,material;inner_cable;moq;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;outer_casing;stroke_mm,wire_rope_diameter_min_mm;construction;length_min_mm;length_max_mm;outer_casing,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
GS-CTL-002,Push Pull Control Cable,control-brake-cables,https://www.wireropeassy.com/brake-cable/black-bowden-cable-with-inner-cable.html,exact,high,material;inner_cable;moq;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;outer_casing;stroke_mm,wire_rope_diameter_min_mm;construction;length_min_mm;length_max_mm;outer_casing,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
GS-CTL-003,Brake Cable Assembly,control-brake-cables,https://www.wireropeassy.com/control-cable/wire-rope-assemblies-brake-custom-cable.html,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file;inner_cable;outer_casing;stroke_mm,wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;outer_casing;customization_options;coating_material,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-CTL-004,Throttle Control Cable,control-brake-cables,https://www.wireropeassy.com/control-cable/factory-direct-oem-scooter-bike-motorcycle.html,strong,high,material;inner_cable;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;outer_casing;stroke_mm,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-GYM-001,Gym Equipment Cable Assembly,gym-fitness-cables,https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,exact,high,material;material_grade;coating_color;moq;production_lead_time;customization_options,construction;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;packaging;drawing_file;datasheet_file,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-GYM-002,Weight Stack Cable Assembly,gym-fitness-cables,https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,exact,high,material;material_grade;coating_color;end_a_type;end_b_type;end_b_thread;end_b_dimensions;moq;production_lead_time;customization_options,construction;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_thread;end_a_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;packaging;drawing_file;datasheet_file,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-GYM-003,PVC Coated Gym Cable,gym-fitness-cables,https://www.wireropeassy.com/wire-rope-sling/stainless-fall-prevention-wire-rope-sling.html,strong,medium,construction;material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;length_min_mm;length_max_mm;moq;sample_lead_time;production_lead_time;packaging;customization_options,material_grade;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;drawing_file;datasheet_file,coating_material,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
GS-GYM-004,Fitness Cable with Ball End,gym-fitness-cables,https://www.wireropeassy.com/gym-fitness-cable/gym-cable-assembly.html,strong,high,material;material_grade;coating_color;end_b_type;end_b_dimensions;moq;production_lead_time;customization_options,construction;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_thread;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;packaging;drawing_file;datasheet_file,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-FIT-001,Wire Rope Thimble,wire-rope-fittings,https://www.wireropeassy.com/hardware-fittings/din-3091-wire-rope-thimble.html,exact,high,applicable_standard;moq;packaging;compatible_wire_rope_diameter_min_mm;compatible_wire_rope_diameter_max_mm;customization_options,material;material_grade;surface_finish;end_a_type;end_a_thread;end_a_dimensions;breaking_load;working_load;load_unit;sample_lead_time;production_lead_time;drawing_file;datasheet_file,material;surface_finish;production_lead_time,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
GS-FIT-002,Wire Rope Sleeve,wire-rope-fittings,https://www.wireropeassy.com/showroom/wire-rope-aluminium-sleeve/,partial,low,,material;material_grade;surface_finish;end_a_type;end_a_thread;end_a_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file;compatible_wire_rope_diameter_min_mm;compatible_wire_rope_diameter_max_mm,,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-FIT-003,Swage Terminal,wire-rope-fittings,None,none,low,,material;material_grade;surface_finish;end_a_type;end_a_thread;end_a_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file;compatible_wire_rope_diameter_min_mm;compatible_wire_rope_diameter_max_mm,end_a_type,4,unverified,yes,Find a direct product detail page or obtain a Gaoshuo drawing/datasheet.
GS-FIT-004,Cable Gripper,wire-rope-fittings,https://www.wireropeassy.com/suspension-hanging-kit/aircraft-cable-gripper-fitting.html,exact,high,material;surface_finish;production_lead_time;customization_options;compatible_wire_rope_diameter_min_mm;compatible_wire_rope_diameter_max_mm,material_grade;end_a_type;end_a_thread;end_a_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;packaging;drawing_file;datasheet_file,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
