source_domain,source_url,original_product_name,original_category,product_type,material,coating,construction,end_fitting,application,migration_status,duplicate_group,target_slug,target_category,notes
justwirerope.com,https://justwirerope.com/,Bespoke Wire Rope Assembly,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/shop/,Products归档,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/,Tool lanyard,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/anti-lost-safety-rope/,Anti,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/diving-camera-lanyard-with-quick-release-buckle/,Diving camera lanyard with Quick Release Buckle,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/dog-tie-out-cable-with-pvc-coating/,Dog Tie Out Cable with PVC Coating,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/high-quality-spring-lanyard-with-two-hooks/,High,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/lanyard-coil-spring-wire-for-safety-fall-protection/,Lanyard Coil Spring Wire for Safety Fall Protection,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/high-quality-tool-lanyard-portable-spring-wire-rope/,High,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/lightweight-safety-coils-lanyard/,Lightweight Safety Coils lanyard,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/retractable-coil-lanyard-for-safety/,Retractable Coil Lanyard for safety,,product-or-category,stainless steel,PVC,,carabiner hook,fitness-equipment,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/retractable-spring-coil-keychain-spiral-lanyards/,Retractable Spring Coil Keychain Spiral Lanyards,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/safety-dog-leash-with-handle/,Safety Dog Leash With Handle,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/safety-tool-lanyard-with-d-hook-stretchable/,Safety Tool Lanyard With D Hook Stretchable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/stainless-steel-convenient-safety-cable-saw/,Stainless Steel Convenient Safety Cable Saw,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/high-quality-tool-lanyard-for-height-work/,High,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/product-category/brake-cable/,Brake cable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/automobile-bowden-trailer-brake-cable/,Automobile bowden trailer brake cable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/bicycle-brake-cable-customizable-lengths-colors/,Bicycle Brake Cable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/brake-cable-for-vehicle-safety/,Brake cable for vehicle safety,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/m8-oil-control-cable-to-install-on-motorcycle/,M8 Oil Control Cable To Install On Motorcycle,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/marine-push-pull-control-cable/,Marine Push Pull Control Cable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/wire-flexible-throttle-control-cables/,Wire Flexible Throttle Control Cables,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/customized-outboard-throttle-control-cable-brake-cable/,Customized outboard throttle control cable brake cable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/product-category/hanging-kit/,Hanging kit,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/adjustable-cable-grip-wholesale-custom/,Adjustable Cable Grip Wholesale Custom,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/durable-suspension-hanging-kits/,Durable Suspension Hanging Kits,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/suspension-hanging-kit-adjustable-for-panel-hanging/,Suspension hanging Kit Adjustable for Panel Hanging,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/product-category/wire-rope-assembly/,Wire rope assembly,,product-or-category,stainless steel,PVC,,carabiner hook,fitness-equipment,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/d-type-wire-lock-pin-with-tongue/,D Type Wire Lock Pin With Tongue,,product-or-category,stainless steel,PVC,,carabiner hook,fitness-equipment,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/metal-eyelet-terminals-for-wire-rope-cable/,Metal Eyelet Terminals For Wire Rope Cable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/wire-rope-clips-for-cable-assembies/,Wire Rope Clips For Cable Assembies,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/wire-rope-with-loops-fitted/,Wire Rope With Loops Fitted,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/wholesale-stainless-steel-carabiner/,Wholesale Stainless Steel Carabiner,,product-or-category,stainless steel,PVC,7x19,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/stainless-steel-tow-wire-rope-sling-with-sling-latch-hook/,Stainless Steel Tow Wire Rope Sling with Sling Latch Hook,,product-or-category,stainless steel,PVC,,carabiner hook,fitness-equipment,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/oem-manufacturers/,Custom Wire Ropes Assembly for OEM & Manufacturers,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/electrical-containment-suspension-solutions/,Electrical Containment Suspension Solutions,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/hvac-suspension-solution/,HVAC Suspension Solution,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/wire-rope-solution-for-agriculture-and-forestry/,Wire Rope Solution for Agriculture and Forestry,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/wire-rope-solution-for-theatre-and-lighting-rigging/,Wire Rope Solution for Theatre and Lighting Rigging,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/wire-rope-solutions-for-civil-engineering/,Wire Rope Solutions for Civil Engineering,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/faqs/,FAQ’S,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/retractable-fishing-stainless-wire-rope-inside-heavy-duty-coiled-lanyard-with-lobster.html,Retractable Fishing Stainless Wire Rope,,product-or-category,stainless steel,PVC,7x7,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/track-lighting-suspension-kit/,Track Lighting Suspension Kit Manufacturer in China,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/lighting-cable-kit/,Lighting Cable Kit Manufacturer in China,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/brake-cable.html,Brake Cable Manufacturer in China,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/cable-lock.html,Cable Lock Manufacturer in China,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/adjustable-cable-grip-wholesale-custom-%e5%a4%8d%e5%88%b6/,1.5mm black plated steel wire suspension cable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/1-5mm-zinc-plated-wire-rope-loop-clamp-grip-1mm-1-5mm-cable/,1.5mm Zinc Plated Wire Rope Loop Clamp Grip 1mm &#8211; 1.5mm Cable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/3-2mm-galvanized-whip-check-safety-cable-with-compress-spring/,3.2mm Galvanized Whip Check Safety Cable with Compress Spring,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/3-2mm-spiral-coil-spring-safety-lanyard-with-key-ring/,3.2mm Spiral Coil Spring Safety Lanyard with Key Ring,,product-or-category,stainless steel,PVC,,carabiner hook,fitness-equipment,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/304-316-double-carabiner-coil-lanyard-for-safety/,304/316 Double Carabiner Coil Lanyard for Safety,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/5-0mm-pvc-housing-rear-brake-cable-for-motorcycle/,5.0mm PVC housing Rear Brake Cable For Motorcycle,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/adjustable-cable-double-loop-clamp/,Adjustable Cable Double Loop Clamp,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/adjustable-cable-loop-clamp/,Adjustable Cable Loop Clamp,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/anti-slip-and-wear-resistant-customized-industrial-safety-rope/,Anti,,product-or-category,stainless steel,PVC,,carabiner hook,fitness-equipment,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/shop/page/2/,Products归档,,product-or-category,stainless steel,PVC,,carabiner hook,fitness-equipment,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/shop/page/3/,Products归档,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/shop/page/4/,Products归档,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/shop/page/7/,Products归档,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/shop/page/8/,Products归档,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/shop/page/9/,Products归档,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/coil-lanyard-tool-tether-with-swivel-zinc-alloy-hook/,Coil Lanyard Tool Tether with swivel zinc alloy hook,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/customized-high-quality-coiled-elastic-rope-manufacturer/,"Customized High Quality Coiled Elastic Rope Safety, Multi",,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/customized-pvc-spring-wire-coil-tool-lanyard-for-safety/,Customized PVC Spring Wire Coil Tool Lanyard for Safety,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/customized-retractable-grey-plastic-coiled-spring-tool-lanyard-with-swivel-hook/,Customized Retractable Grey Plastic Coiled Spring Tool Lanyard with Swivel Hook,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/customized-safety-lanyard-with-suspension-kits-for-hanging/,Customized Safety Lanyard with suspension kits for hanging,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/customized-wire-rope-lanyard-1kg-2kg-5kg-for-hanging/,Customized Wire Rope Lanyard 1kg 2kg 5kg for hanging,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/page/2/,Tool lanyard,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/page/3/,Tool lanyard,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/page/4/,Tool lanyard,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
