source_domain,source_url,page_type,original_title,original_category,original_product_name,migration_status,target_slug,target_category,duplicate_group,content_extracted,product_data_extracted,contact_data_removed,brand_data_removed,image_status,notes
justwirerope.com,https://justwirerope.com/,product-or-category,One stop Wire Ropes Assemblies Manufacturer in China-Guofeng,,Bespoke Wire Rope Assembly,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/sitemap.xml,error,,,,error,,,,false,false,true,true,pending,HTTP 301
justwirerope.com,https://justwirerope.com/about-us/,skipped,About Us - Goufeng,,Your Professional Wire Rope Supplier in China,skipped,,,,false,false,true,true,pending,Skipped non-product/service page.
justwirerope.com,https://justwirerope.com/shop/,product-or-category,Products归档 - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/,product-or-category,Tool lanyard Archives - GuoFeng,,Tool lanyard,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/anti-lost-safety-rope/,product-or-category,Anti-lost Safety Rope Manufacturer - GuoFeng,,Anti-lost Safety Rope,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/diving-camera-lanyard-with-quick-release-buckle/,product-or-category,Diving camera lanyard with Quick Release Buckle - GuoFeng,,Diving camera lanyard with Quick Release Buckle,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/dog-tie-out-cable-with-pvc-coating/,product-or-category,Dog Tie Out Cable with PVC Coating - GuoFeng,,Dog Tie Out Cable with PVC Coating,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/high-quality-spring-lanyard-with-two-hooks/,product-or-category,High-Quality Spring Lanyard With Two Hooks - GuoFeng,,High-Quality Spring Lanyard With Two Hooks,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/lanyard-coil-spring-wire-for-safety-fall-protection/,product-or-category,Lanyard Coil Spring Wire for Safety Fall Protection - GuoFeng,,Lanyard Coil Spring Wire for Safety Fall Protection,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/high-quality-tool-lanyard-portable-spring-wire-rope/,product-or-category,High-quality tool lanyard portable spring wire rope - GuoFeng,,High-quality tool lanyard portable spring wire rope,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/lightweight-safety-coils-lanyard/,product-or-category,Lightweight Safety Coils lanyard - GuoFeng,,Lightweight Safety Coils lanyard,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/retractable-coil-lanyard-for-safety/,product-or-category,Retractable Coil Lanyard for safety - GuoFeng,,Retractable Coil Lanyard for safety,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/retractable-spring-coil-keychain-spiral-lanyards/,product-or-category,Retractable Spring Coil Keychain Spiral Lanyards - GuoFeng,,Retractable Spring Coil Keychain Spiral Lanyards,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/safety-dog-leash-with-handle/,product-or-category,Safety Dog Leash With Handle - GuoFeng,,Safety Dog Leash With Handle,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/safety-tool-lanyard-with-d-hook-stretchable/,product-or-category,Safety Tool Lanyard With D Hook Stretchable - GuoFeng,,Safety Tool Lanyard With D Hook Stretchable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/stainless-steel-convenient-safety-cable-saw/,product-or-category,Stainless Steel Convenient Safety Cable Saw - GuoFeng,,Stainless Steel Convenient Safety Cable Saw,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/high-quality-tool-lanyard-for-height-work/,product-or-category,High-quality tool lanyard for height work - GuoFeng,,High-quality tool lanyard for height work,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/brake-cable/,product-or-category,Brake cable Archives - GuoFeng,,Brake cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/automobile-bowden-trailer-brake-cable/,product-or-category,Automobile bowden trailer brake cable - GuoFeng,,Automobile bowden trailer brake cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/bicycle-brake-cable-customizable-lengths-colors/,product-or-category,Bicycle Brake Cable | Customizable Lengths & Colors - GuoFeng,,Bicycle Brake Cable | Customizable Lengths & Colors,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/brake-cable-for-vehicle-safety/,product-or-category,Brake cable for vehicle safety - GuoFeng,,Brake cable for vehicle safety,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/m8-oil-control-cable-to-install-on-motorcycle/,product-or-category,M8 Oil Control Cable To Install On Motorcycle - GuoFeng,,M8 Oil Control Cable To Install On Motorcycle,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/marine-push-pull-control-cable/,product-or-category,Marine Push Pull Control Cable - GuoFeng,,Marine Push Pull Control Cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/wire-flexible-throttle-control-cables/,product-or-category,Wire Flexible Throttle Control Cables - GuoFeng,,Wire Flexible Throttle Control Cables,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/customized-outboard-throttle-control-cable-brake-cable/,product-or-category,Customized outboard throttle control cable brake cable - GuoFeng,,Customized outboard throttle control cable brake cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/hanging-kit/,product-or-category,Hanging kit Archives - GuoFeng,,Hanging kit,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/adjustable-cable-grip-wholesale-custom/,product-or-category,Adjustable Cable Grip Wholesale Custom - GuoFeng,,Adjustable Cable Grip Wholesale Custom,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/durable-suspension-hanging-kits/,product-or-category,Durable Suspension Hanging Kits - GuoFeng,,Durable Suspension Hanging Kits,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/suspension-hanging-kit-adjustable-for-panel-hanging/,product-or-category,Suspension hanging Kit Adjustable for Panel Hanging - GuoFeng,,Suspension hanging Kit Adjustable for Panel Hanging,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/wire-rope-assembly/,product-or-category,Wire rope assembly Archives - GuoFeng,,Wire rope assembly,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/d-type-wire-lock-pin-with-tongue/,product-or-category,D Type Wire Lock Pin With Tongue - GuoFeng,,D Type Wire Lock Pin With Tongue,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/metal-eyelet-terminals-for-wire-rope-cable/,product-or-category,Metal Eyelet Terminals For Wire Rope Cable - GuoFeng,,Metal Eyelet Terminals For Wire Rope Cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/wire-rope-clips-for-cable-assembies/,product-or-category,Wire Rope Clips For Cable Assembies - GuoFeng,,Wire Rope Clips For Cable Assembies,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/wire-rope-with-loops-fitted/,product-or-category,Wire Rope With Loops Fitted - GuoFeng,,Wire Rope With Loops Fitted,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/wholesale-stainless-steel-carabiner/,product-or-category,Wholesale Stainless Steel Carabiner - GuoFeng,,Wholesale Stainless Steel Carabiner,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/stainless-steel-tow-wire-rope-sling-with-sling-latch-hook/,product-or-category,Stainless Steel Tow Wire Rope Sling with Sling Latch Hook - GuoFeng,,Stainless Steel Tow Wire Rope Sling with Sling Latch Hook,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/oem-manufacturers/,product-or-category,Custom Wire Ropes Assembly for OEM & Manufacturers - GuoFeng,,Custom Wire Ropes Assembly for OEM & Manufacturers,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/electrical-containment-suspension-solutions/,product-or-category,Electrical Containment Suspension Solutions - GuoFeng,,Electrical Containment Suspension Solutions,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/hvac-suspension-solution/,product-or-category,HVAC Suspension Solution - GuoFeng,,HVAC Suspension Solution,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/wire-rope-solution-for-agriculture-and-forestry/,product-or-category,Wire Rope Solution for Agriculture and Forestry - GuoFeng,,Wire Rope Solution for Agriculture and Forestry,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/wire-rope-solution-for-theatre-and-lighting-rigging/,product-or-category,Wire Rope Solution for Theatre and Lighting Rigging - GuoFeng,,Wire Rope Solution for Theatre and Lighting Rigging,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/wire-rope-solutions-for-civil-engineering/,product-or-category,Wire Rope Solutions for Civil Engineering - GuoFeng,,Wire Rope Solutions for Civil Engineering,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/faqs/,product-or-category,FAQ-Wire Ropes - GuoFeng,,FAQ’S,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/quality/,discovered,Quality - GuoFeng,,Quality,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/engineered-components/,discovered,Engineered Components - GuoFeng,,Engineered Components,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/services/,service,Services - Goufeng,,Services,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/blog/,discovered,Blog -GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/contact/,skipped,Contact - GuoFeng,,,skipped,,,,false,false,true,true,pending,Skipped non-product/service page.
justwirerope.com,https://justwirerope.com/retractable-fishing-stainless-wire-rope-inside-heavy-duty-coiled-lanyard-with-lobster.html,product-or-category,Retractable Fishing Stainless Wire Rope - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/track-lighting-suspension-kit/,product-or-category,Track Lighting Suspension Kit Manufacturer in China - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/lighting-cable-kit/,product-or-category,Lighting Cable Kit Manufacturer in China - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/brake-cable.html,product-or-category,Brake Cable Manufacturer in China - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/cable-lock.html,product-or-category,Cable Lock Manufacturer in China - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/adjustable-cable-grip-wholesale-custom-%e5%a4%8d%e5%88%b6/,product-or-category,1.5mm black plated steel wire suspension cable - GuoFeng,,1.5mm black plated steel wire suspension cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/1-5mm-zinc-plated-wire-rope-loop-clamp-grip-1mm-1-5mm-cable/,product-or-category,1.5mm Zinc Plated Wire Rope Loop Clamp Grip 1mm - 1.5mm Cable - GuoFeng,,1.5mm Zinc Plated Wire Rope Loop Clamp Grip 1mm &#8211; 1.5mm Cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/3-2mm-galvanized-whip-check-safety-cable-with-compress-spring/,product-or-category,3.2mm Galvanized Whip Check Safety Cable with Compress Spring - GuoFeng,,3.2mm Galvanized Whip Check Safety Cable with Compress Spring,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/3-2mm-spiral-coil-spring-safety-lanyard-with-key-ring/,product-or-category,3.2mm Spiral Coil Spring Safety Lanyard with Key Ring - GuoFeng,,3.2mm Spiral Coil Spring Safety Lanyard with Key Ring,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/304-316-double-carabiner-coil-lanyard-for-safety/,product-or-category,Coiled Spring Tool Lanyard Manufacturer - GuoFeng,,304/316 Double Carabiner Coil Lanyard for Safety,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/5-0mm-pvc-housing-rear-brake-cable-for-motorcycle/,product-or-category,5.0mm PVC housing Rear Brake Cable For Motorcycle - GuoFeng,,5.0mm PVC housing Rear Brake Cable For Motorcycle,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/adjustable-cable-double-loop-clamp/,product-or-category,Adjustable Cable Double Loop Clamp - GuoFeng,,Adjustable Cable Double Loop Clamp,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/adjustable-cable-loop-clamp/,product-or-category,Adjustable Cable Loop Clamp - GuoFeng,,Adjustable Cable Loop Clamp,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/anti-slip-and-wear-resistant-customized-industrial-safety-rope/,product-or-category,Anti-Slip And Wear-Resistant Customized Industrial Safety Rope - GuoFeng,,Anti-Slip And Wear-Resistant Customized Industrial Safety Rope,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/shop/page/2/,product-or-category,Products归档 - Page 2 of 9 - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/shop/page/3/,product-or-category,Products归档 - Page 3 of 9 - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/shop/page/4/,product-or-category,Products归档 - Page 4 of 9 - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/shop/page/7/,product-or-category,Products归档 - Page 7 of 9 - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/shop/page/8/,product-or-category,Products归档 - Page 8 of 9 - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/shop/page/9/,product-or-category,Products归档 - Page 9 of 9 - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/coil-lanyard-tool-tether-with-swivel-zinc-alloy-hook/,product-or-category,Coiled Spring Tool Lanyard Manufacturer - GuoFeng,,Coil Lanyard Tool Tether with swivel zinc alloy hook,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/customized-high-quality-coiled-elastic-rope-manufacturer/,product-or-category,Customized High Quality Coiled Elastic Rope Manufacturer - GuoFeng,,"Customized High Quality Coiled Elastic Rope Safety, Multi-purpose Braided Rope Safety Rope",discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/customized-pvc-spring-wire-coil-tool-lanyard-for-safety/,product-or-category,Spring Wire Coil Tool Lanyard Manufacturer - GuoFeng,,Customized PVC Spring Wire Coil Tool Lanyard for Safety,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/customized-retractable-grey-plastic-coiled-spring-tool-lanyard-with-swivel-hook/,product-or-category,Coiled Spring Tool Lanyard Manufacturer - GuoFeng,,Customized Retractable Grey Plastic Coiled Spring Tool Lanyard with Swivel Hook,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/customized-safety-lanyard-with-suspension-kits-for-hanging/,product-or-category,Customized Safety Lanyard with suspension kits for hanging - GuoFeng,,Customized Safety Lanyard with suspension kits for hanging,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/customized-wire-rope-lanyard-1kg-2kg-5kg-for-hanging/,product-or-category,Customized Wire Rope Lanyard 1kg 2kg 5kg for hanging - GuoFeng,,Customized Wire Rope Lanyard 1kg 2kg 5kg for hanging,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/page/2/,product-or-category,Tool lanyard Archives - Page 2 of 4 - GuoFeng,,Tool lanyard,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/page/3/,product-or-category,Tool lanyard Archives - Page 3 of 4 - GuoFeng,,Tool lanyard,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/page/4/,product-or-category,Tool lanyard Archives - Page 4 of 4 - GuoFeng,,Tool lanyard,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/wp-content/uploads/2024/11/202411015.jpg,error,,,,error,,,,false,false,true,true,pending,HTTP 200
justwirerope.com,https://justwirerope.com/wp-content/uploads/2024/11/202411016.jpg,error,,,,error,,,,false,false,true,true,pending,HTTP 200
wireropeassy.com,https://www.wireropeassy.com/,discovered,,,,discovered,,,,false,false,true,true,pending,Discovered public page.
wireropeassy.com,https://www.wireropeassy.com/sitemap.xml,error,,,,error,,,,false,false,true,true,pending,HTTP 200
